v_rid,name,branch,addr,road_addr,phone,lat,lng,score,user_score,review_cnt,category,area,open_status,image,profile_url
0BsCJ0QaEHGJ,챔프커피,,서울특별시 용산구 이태원동 79-44,서울특별시 용산구 녹사평대로26가길 24 1층,02-790-4516,37.532533,126.9928149,84,4.4,48,"커피, 로스터리카페",이태원,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260317164850_photo1_d5b972c1b577.webp,https://www.diningcode.com/profile.php?rid=0BsCJ0QaEHGJ
XnihYh6RXCdg,커피고 by MOHB,,강원도 고성군 토성면 봉포리 286,강원도 고성군 토성면 토성로 84 1층 커피고,0507-1372-2242,38.2538434,128.5636062,84,4.6,29,"커피, 로스터리카페",고성,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260419085225_photo1_1acbe36cdb7b.webp,https://www.diningcode.com/profile.php?rid=XnihYh6RXCdg
q4VvN4rsNB5M,소사이어티카페,,경기도 안양시 만안구 안양동 674-70,경기도 안양시 만안구 장내로139번길 56-6 1층,031-464-9901,37.4000355,126.9216701,83,4.5,22,"커피, 로스터리카페",안양,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260504090406_photo1_ccfbb06e03f1.webp,https://www.diningcode.com/profile.php?rid=q4VvN4rsNB5M
QDTTXwKZmK7u,일상엔,,경기도 수원시 팔달구 매산로3가 128-12,"경기도 수원시 팔달구 고화로 8 1층, 2층",0507-1398-0922,37.2703543,127.0081915,83,4.5,33,"커피, 로스터리카페",수원역,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260326125853580_photo_9aa68c3907b7.webp,https://www.diningcode.com/profile.php?rid=QDTTXwKZmK7u
iTOXZ2XLel5f,정지영커피로스터즈,행궁본점,경기도 수원시 팔달구 신풍동 170-1,경기도 수원시 팔달구 신풍로 42 정지영커피로스터즈 행궁본점,070-7537-0091,37.284908,127.0144039,83,4.4,34,"플랫화이트, 로스터리카페",행궁동,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260502080618_photo1_3199de344b03.webp,https://www.diningcode.com/profile.php?rid=iTOXZ2XLel5f
c8LGf8y77Ljg,카페 팃빗,,서울특별시 관악구 봉천동 1613-5 2층,서울특별시 관악구 관악로14가길 6 2층,0507-1402-4719,37.4782592,126.9560033,83,4.7,18,로스터리카페,샤로수길,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260514025455355_photo_269c0aace01f.webp,https://www.diningcode.com/profile.php?rid=c8LGf8y77Ljg
U4gVTEgicQOQ,로와이드,압구정,서울특별시 강남구 신사동 574-1,"서울특별시 강남구 압구정로 146 1, 2층",070-4259-2217,37.5251105,127.0248805,82,4.4,25,"베이커리, 로스터리카페",압구정,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260430110839048_photo_2ed622fc9e05.webp,https://www.diningcode.com/profile.php?rid=U4gVTEgicQOQ
fsXbiGNBbuSi,론트커피,,"인천광역시 부평구 부평동 212-8 1,2층","인천광역시 부평구 부평대로38번길 3 1, 2층",0507-1491-1716,37.4948307,126.7231231,82,4.6,24,로스터리카페,부평,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260428115513_photo1_cff8ac8579d8.webp,https://www.diningcode.com/profile.php?rid=fsXbiGNBbuSi
qNoBU82H9A5a,몬스터로스터스,,경상남도 창원시 마산합포구 해운동 43-5,경상남도 창원시 마산합포구 월영동9길 14 1층 몬스터로스터스,070-8790-8980,35.180382,128.5636807,82,4.7,14,"커피, 로스터리카페",마산,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260417112957_photo1_52139d034f9a.webp,https://www.diningcode.com/profile.php?rid=qNoBU82H9A5a
hgXRvMttcaxa,커피 몽타주,,서울특별시 강동구 성내동 555-5,서울특별시 강동구 올림픽로48길 23-12 1층,0507-1418-1303,37.5295051,127.1218766,82,4.4,31,"커피, 로스터리카페",성내동,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260304085733_photo1_5ea5390af79d.webp,https://www.diningcode.com/profile.php?rid=hgXRvMttcaxa
8aPdAkyxppRu,터프이너프,,경기도 평택시 포승읍 도곡리 942-5,경기도 평택시 포승읍 포승향남로 11 단독건물 터프이너프 카페,0507-1349-9597,36.9828751,126.8799161,82,4.6,25,"커피, 로스터리카페",포승,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260422105946_photo1_44e3bb78dcc8.webp,https://www.diningcode.com/profile.php?rid=8aPdAkyxppRu
ao3tsQbpUWHK,팟오브부산,,부산 부산진구 전포동 340-33 1층,부산광역시 부산진구 동성로39번길 30-7 1층,,35.1543668,129.0666897,82,4.7,22,"카페, 로스터리카페",전포,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260330105343_photo1_7282f33db710.webp,https://www.diningcode.com/profile.php?rid=ao3tsQbpUWHK
4EfrvfLyRqiF,히떼 로스터리,,부산광역시 부산진구 전포동 239-4 2층,부산광역시 부산진구 동성로 59 2층,070-7633-3066,35.1557531,129.0682086,82,4.5,32,"커피, 로스터리카페",전포,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260504092454_photo1_3d18d74fd4b1.webp,https://www.diningcode.com/profile.php?rid=4EfrvfLyRqiF
Pb6GyUBbXRkB,히떼로스터리,광안점,부산광역시 수영구 광안동 183-9 2층,부산광역시 수영구 수영로510번길 57 2층,0507-1369-9130,35.150624,129.1145392,82,4.4,22,"커피, 로스터리카페",광안리,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260511045730998_photo_af6ade8a8fa2.webp,https://www.diningcode.com/profile.php?rid=Pb6GyUBbXRkB
TUl5roUKYnfk,건대커피랩,,서울특별시 광진구 화양동 7-11 2층,서울특별시 광진구 동일로22길 102 2층,0507-1438-7728,37.5408292,127.0696519,81,4.5,15,"커피, 로스터리카페",건대,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20251204024436_photo1_c50eacde7e32.webp,https://www.diningcode.com/profile.php?rid=TUl5roUKYnfk
mTGJg86s3YOi,디마인커피로스터즈,포레스트점,경기도 의왕시 오전동 664-10,경기도 의왕시 백운로 177 1층 디마인커피로스터즈 포레스트점,0507-1473-1439,37.3612027,126.9923148,81,5,9,"커피, 로스터리카페",의왕,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260511024128_photo1_97e1c32782e9.webp,https://www.diningcode.com/profile.php?rid=mTGJg86s3YOi
vQtcG1tX6fZ6,마비스커피,,부산광역시 북구 덕천동 384-1,부산광역시 북구 만덕대로 42,051-343-1116,35.2109626,129.0096464,81,4.4,17,"커피, 로스터리카페",덕천,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260219085205552_photo_3b76e935d3d1.webp,https://www.diningcode.com/profile.php?rid=vQtcG1tX6fZ6
xDu05cDELs9o,베르크 로스터스,,부산광역시 수영구 광안동 507-8,부산광역시 수영구 수영로 566 베르크로스터스,0507-1492-2112,35.1561215,129.1129792,81,4.4,23,"커피, 로스터리카페",광안리,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260216064442_photo1_e1ddf38f2678.webp,https://www.diningcode.com/profile.php?rid=xDu05cDELs9o
tqdyvdk06ZOo,보사노바,커피로스터스,강원도 강릉시 견소동 168,강원도 강릉시 창해로14번길 28,033-653-0038,37.7720879,128.9478338,81,3.9,54,"커피, 로스터리카페",강릉,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260517122729214_photo_07d1eb272e4c.webp,https://www.diningcode.com/profile.php?rid=tqdyvdk06ZOo
D00OmCZfKXh5,얼룩개,,부산광역시 동래구 낙민동 211-5 2층,부산광역시 동래구 충렬대로272번길 15 2층 202호,0507-1328-9222,35.2000791,129.0892223,81,4.6,16,"드립커피, 로스터리카페",동래,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260502014146_photo1_b7989c6edbd4.webp,https://www.diningcode.com/profile.php?rid=D00OmCZfKXh5
jhz7giUTGfLN,일기장,,부산광역시 수영구 남천동 558-21,부산광역시 수영구 광안해변로 27-6 1층 101호,0507-1337-4794,35.1380993,129.1130036,81,4.5,12,"카페, 로스터리카페",남천동,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20250329102402683_photo_2e4fdb9a2bdd.webp,https://www.diningcode.com/profile.php?rid=jhz7giUTGfLN
vhGglwM513Kz,처치앤댄스홀,,대전광역시 중구 대흥동 185-11,대전광역시 중구 대흥로139번길 38,010-4921-2149,36.3257325,127.4267268,81,4.5,14,"카페, 로스터리카페",대전대흥동,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260428020856667_photo_3el7hGvSZLeT.webp,https://www.diningcode.com/profile.php?rid=vhGglwM513Kz
UyO7JgllvcCF,프릳츠,양재점,서울특별시 서초구 서초동 1363-10,서울특별시 서초구 강남대로37길 24-11,02-521-4148,37.4853569,127.0322383,81,4.3,59,"베이커리, 로스터리카페",양재역,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260420102512190_photo_9b0736a3f5ae.webp,https://www.diningcode.com/profile.php?rid=UyO7JgllvcCF
62Int9GkKcF8,피핀커피로스터스,,서울특별시 강서구 마곡동 760-2,서울특별시 강서구 마곡중앙로 161-1 캐슬파크 217,0507-1389-6580,37.567699,126.8272795,81,4.7,12,"카페, 로스터리카페",마곡,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260424060008_photo1_a5fc889e25cd.webp,https://www.diningcode.com/profile.php?rid=62Int9GkKcF8
WFV6hXvR1O4s,PONT,,서울 용산구 한강로3가 40-162,서울특별시 용산구 한강대로15길 19-16 1층,02-6369-8549,37.5257906,126.9628565,80,4.2,18,"커피, 로스터리카페",용산역,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260209172304_photo1_d7d578b999f9.webp,https://www.diningcode.com/profile.php?rid=WFV6hXvR1O4s
xwvlBKybBMso,나무사이로,,서울특별시 종로구 내자동 196,서울특별시 종로구 사직로8길 21 카페 나무사이로,070-7590-0885,37.5747164,126.971003,80,4.1,25,"커피, 로스터리카페",경복궁역,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260401035131_photo1_VqmGpLybPOZz.webp,https://www.diningcode.com/profile.php?rid=xwvlBKybBMso
HOi5JSWwcmI9,더네스트커피,,부산광역시 동래구 사직동 99-5,부산광역시 동래구 아시아드대로133번길 17 1층,070-7677-7114,35.1961137,129.0650172,80,5,11,"카페, 로스터리카페",사직,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260304101640208_photo_.webp,https://www.diningcode.com/profile.php?rid=HOi5JSWwcmI9
4YtMbCbgV2WC,딥블루레이크,,서울특별시 마포구 망원동 411-12,서울특별시 마포구 포은로6길 11,02-333-8532,37.5558155,126.9056787,80,4.3,45,"카페, 로스터리카페",망원동,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260413052656243_photo_e358378b7278.webp,https://www.diningcode.com/profile.php?rid=4YtMbCbgV2WC
Ask7PtHpfMAB,로우앤스윗 베이커리,,부산광역시 해운대구 우동 517-3,부산광역시 해운대구 우동1로38번가길 1,0507-1366-2988,35.1651674,129.1581153,80,4.3,40,"에스프레소, 로스터리카페",해리단길,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260427032133_photo1_aaac37f40661.webp,https://www.diningcode.com/profile.php?rid=Ask7PtHpfMAB
QoUdyYA76Ruo,룰리커피,,대구광역시 수성구 고모동 334-1,대구광역시 수성구 고모로 188,0507-1397-4669,35.8568141,128.6796906,80,4.3,28,"커피, 로스터리카페",율하,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260507012752_menu1_39393bde8b2d.webp,https://www.diningcode.com/profile.php?rid=QoUdyYA76Ruo
WhO7oQdoWGg3,마일스톤 커피,한남점,서울특별시 용산구 한남동 729-13,서울특별시 용산구 한남대로27가길 26 1층,0507-1362-3052,37.5379217,127.0026845,80,4.5,32,"커피, 로스터리카페",한남,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20251225115417_photo1_po3mNtJYCD3F.webp,https://www.diningcode.com/profile.php?rid=WhO7oQdoWGg3
LbaTVdBcvPJ7,모센트,용산점,서울특별시 용산구 한강로1가 230-1,서울특별시 용산구 한강대로52길 25-14,0507-1352-2601,37.5322423,126.973124,80,4.4,31,"커피, 로스터리카페",용리단길,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260502213216_photo1_96e5903fc6cc.webp,https://www.diningcode.com/profile.php?rid=LbaTVdBcvPJ7
udZICnJWfATh,미니말레 커피뢰스터,,서울특별시 서초구 양재동 329-11,서울특별시 서초구 강남대로10길 32,02-6104-4239,37.4688795,127.0412368,80,4.7,18,"커피, 로스터리카페",양재,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260401082856_photo1_e1f061b0951c.webp,https://www.diningcode.com/profile.php?rid=udZICnJWfATh
QzFI7ilzeAP1,빈플래토,,서울특별시 성동구 옥수동 356-2,서울특별시 성동구 한림말5길 19,0507-1371-5760,37.54299,127.0164724,80,4.8,23,"카페, 로스터리카페",옥수역,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260420031149667_photo_3b1ec9e3b521.webp,https://www.diningcode.com/profile.php?rid=QzFI7ilzeAP1
4Qy8qcY555gM,시에나커피로스터스,,경기도 안양시 만안구 안양동 633-1 2층,경기도 안양시 만안구 만안로 208-1 2층,0507-1448-6677,37.3995149,126.9241994,80,4.6,11,"밀크티, 로스터리카페",안양,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260504064324178_photo_faa06f3aa403.webp,https://www.diningcode.com/profile.php?rid=4Qy8qcY555gM
F4Oj4CfLfm5S,언더커피,,부산광역시 수영구 남천동 3-24 1층,부산광역시 수영구 광남로 52 1층,0507-1375-5712,35.1471025,129.1122916,80,4.3,18,"커피, 로스터리카페",광안리,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260330043907_photo1_11a78e57e3a7.webp,https://www.diningcode.com/profile.php?rid=F4Oj4CfLfm5S
aPMFgJPuc0tM,오르빗,,서울특별시 송파구 방이동 196-9,서울특별시 송파구 양재대로71길 42 1층 101호,0507-1313-0082,37.5118534,127.1224304,80,4.6,11,로스터리카페,방이동,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260204083029_photo1_a79e03498aa7.webp,https://www.diningcode.com/profile.php?rid=aPMFgJPuc0tM
tIJu73H8nneT,유동커피,,제주특별자치도 서귀포시 서귀동 581-4,제주특별자치도 서귀포시 태평로 406-1,0507-1492-6696,33.2445388,126.5637711,80,4.3,57,"커피, 로스터리카페",서귀포,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20251003081442654_photo_396f478eb263.webp,https://www.diningcode.com/profile.php?rid=tIJu73H8nneT
ycPLJG7M1ev3,이그니토 커피컴퍼니,,인천광역시 중구 경동 90,인천광역시 중구 개항로 107-4,0507-1431-0900,37.472629,126.6344921,80,4.6,14,"카페, 로스터리카페",개항로,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260514025404_photo1_638cfd8288c3.webp,https://www.diningcode.com/profile.php?rid=ycPLJG7M1ev3
MUejGZN8KoVL,인썸니악 커피바,,인천광역시 서구 청라동 165-11,인천광역시 서구 청라에메랄드로 79 2층 A73호,0507-1346-0684,37.5323372,126.6556908,80,4.5,12,"커피, 로스터리카페",청라,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260321043140888_photo_3d10f6906382.webp,https://www.diningcode.com/profile.php?rid=MUejGZN8KoVL
OdrxAgn5bQ8Q,커피그래,,서울시 중구 신당동 422-1,서울특별시 중구 동호로 204 1층,0507-1348-1256,37.556287,127.0099429,80,4.2,27,"커피, 로스터리카페",약수역,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260512114029_photo1_c40532783827.webp,https://www.diningcode.com/profile.php?rid=OdrxAgn5bQ8Q
ZwQqRng4C9xU,커피볶는여자,,서울특별시 관악구 봉천동 1613-4,서울특별시 관악구 관악로14가길 2 1층,0507-1396-2829,37.4783294,126.9561265,80,4.3,28,"카페, 로스터리카페",샤로수길,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260509045342_photo1_e0e157789f91.webp,https://www.diningcode.com/profile.php?rid=ZwQqRng4C9xU
ZAExxCVnmnQc,킵댓 로스터리,,경기도 수원시 팔달구 신풍동 132-1,경기도 수원시 팔달구 화서문로42번길 46 킵댓,0507-1330-3152,37.2836084,127.0141266,80,4.6,16,로스터리카페,행궁동,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260420110503_photo1_4efaffef2495.webp,https://www.diningcode.com/profile.php?rid=ZAExxCVnmnQc
gjNbcMLr40db,테라로사,,제주도 서귀포시 하효동 1306-1,제주특별자치도 서귀포시 칠십리로658번길 27-16,1668-2764,33.2495274,126.6188758,80,4.3,37,"커피, 로스터리카페",쇠소깍,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20251216015942230_photo_0fc10fa5c5e3.webp,https://www.diningcode.com/profile.php?rid=gjNbcMLr40db
ONYh23ORdEgw,포스톤즈 커피로스터스,,서울특별시 강남구 삼성동 168-27,서울특별시 강남구 테헤란로103길 5 포스톤즈커피로스터스,02-568-7778,37.5098375,127.0641123,80,4.2,36,"커피, 로스터리카페",삼성역,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260503122230_photo1_0eb45ebe8c2c.webp,https://www.diningcode.com/profile.php?rid=ONYh23ORdEgw
shlyuCnjrvLp,도조커피,더현대서울점,서울특별시 영등포구 여의도동 22 B1층,서울특별시 영등포구 여의대로 108 B1층,0507-1334-8509,37.526342,126.9283962,79,4.5,15,"커피, 로스터리카페",더현대서울,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260509082756_photo1_429fa3a1c9f1.webp,https://www.diningcode.com/profile.php?rid=shlyuCnjrvLp
ly4kdR9JEuJq,런이트,,서울특별시 마포구 상암동 11-8,서울특별시 마포구 매봉산로2안길 12-9 2층,0507-1364-1942,37.5780613,126.8942739,79,4.6,12,"카페, 로스터리카페",상암,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20250821053758124_photo_19ac37e3f170.webp,https://www.diningcode.com/profile.php?rid=ly4kdR9JEuJq
3DwlyjwU0k7B,모닝캄 커피랩,연남점,서울특별시 마포구 연남동 227-23,서울특별시 마포구 성미산로 192 1층 + 지하1층,0507-1360-5428,37.5628142,126.9263112,79,4.6,14,"카페, 로스터리카페",연남동,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260501203811_menu1_96e5903fc6cc.webp,https://www.diningcode.com/profile.php?rid=3DwlyjwU0k7B
vrBoGGV0q3NH,보사노바,,서울특별시 영등포구 문래동3가 82-13,서울특별시 영등포구 영등포로20길 22-4,010-4591-0038,37.5199517,126.8920161,79,4.3,21,"커피, 로스터리카페",문래,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260324114651394_photo_d5dd67bd7f06.webp,https://www.diningcode.com/profile.php?rid=vrBoGGV0q3NH
ppD17IDqEhDh,스코그,,경기도 광주시 남한산성면 검복리 238-2,경기도 광주시 남한산성면 남한산성로 507-18 스코그(SKOG),0507-1314-1176,37.4665884,127.2059481,79,4.1,29,"카페, 로스터리카페",남한산성,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260420042941_photo1_d5e102ed847b.webp,https://www.diningcode.com/profile.php?rid=ppD17IDqEhDh
X0PqBl4zXcU4,스톤크릭,,강원도 원주시 지정면 판대리 194-5,강원도 원주시 지정면 지정로 1101,0507-1359-7423,37.3706076,127.7965225,79,4.1,45,"카페, 로스터리카페",원주,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260221113719_photo1_d42b1875746c.webp,https://www.diningcode.com/profile.php?rid=X0PqBl4zXcU4
6jVI3wb2MgGr,신기커피영도,,부산광역시 영도구 청학동 산39-14,부산광역시 영도구 와치로 65,0507-1390-7825,35.0868493,129.0602725,79,4.2,39,"카페, 로스터리카페",영도,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260516102002832_photo_82e41b7bed07.webp,https://www.diningcode.com/profile.php?rid=6jVI3wb2MgGr
EBgpB2eOMBvd,윌로우 우드,,경기도 시흥시 배곧동 191,경기도 시흥시 서울대학로278번길 19-13 상가 B동 243호,031-497-5696,37.3714903,126.7270827,79,4.8,16,"카페, 로스터리카페",배곧,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260422100917289_photo_ab14b453a032.webp,https://www.diningcode.com/profile.php?rid=EBgpB2eOMBvd
SRFPT4BndB4r,유람,,세종특별자치시 조치원읍 신안리 389-1 카페 유람,세종특별자치시 조치원읍 신안새동네길 25 유람,0507-1372-7567,36.6141897,127.2910276,79,4.5,12,"커피, 로스터리카페",조치원,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260419012655096_photo_197e5ec1085c.webp,https://www.diningcode.com/profile.php?rid=SRFPT4BndB4r
M61MR4isQPN2,임프레션 커피 컴퍼니,,대전광역시 서구 탄방동 56-1,대전광역시 서구 탄방로 36 1층,0507-1477-8837,36.3436996,127.3909921,79,4.7,13,"커피, 로스터리카페",대전탄방동,오늘 휴무,https://d12zq4w4guyljn.cloudfront.net/300_300_20260118015357584_photo_157683141203.webp,https://www.diningcode.com/profile.php?rid=M61MR4isQPN2
9rtYLGetnR6C,제이엠커피로스터스,부산 본점,부산광역시 기장군 기장읍 대변리 265,부산광역시 기장군 기장읍 대변3길 8 제이엠커피로스터스(제이엠커피그룹본사),1899-0820,35.2228754,129.2315227,79,4.3,27,"커피, 로스터리카페",부산기장,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260518093705333_photo_b910b89c6f27.webp,https://www.diningcode.com/profile.php?rid=9rtYLGetnR6C
b5GLa55iVIaC,커피가이,,경기도 수원시 팔달구 매향동 25-2,경기도 수원시 팔달구 창룡대로103번길 132 1층 커피가이,0507-1320-3441,37.2834598,127.019844,79,4.7,17,"커피, 로스터리카페",행궁동,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260515042314_photo1_f13518079202.webp,https://www.diningcode.com/profile.php?rid=b5GLa55iVIaC
26jqY4MKikex,코그커피,,대구광역시 중구 대안동 81-4,대구광역시 중구 종로 78 1층,0507-1408-5478,35.8727684,128.5910229,79,4.4,13,"커피, 로스터리카페",대구중구,오늘 휴무,https://d12zq4w4guyljn.cloudfront.net/300_300_20260504035841_photo1_39393bde8b2d.webp,https://www.diningcode.com/profile.php?rid=26jqY4MKikex
eHsi94kK7pGy,톤티커피,,서울특별시 종로구 재동 85-1,서울특별시 종로구 북촌로 6-8 톤티커피,070-8872-1316,37.5776474,126.9863152,79,4.3,18,"커피, 로스터리카페",안국역,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260426021044_photo1_1e29f9d4fd31.webp,https://www.diningcode.com/profile.php?rid=eHsi94kK7pGy
9UeTqgFCIp0G,트레져스커피,,부산광역시 부산진구 전포동 308-1,부산광역시 부산진구 전포대로216번길 28 . 1층,051-915-0204,35.1557404,129.0671332,79,4.4,15,"커피, 로스터리카페",전포,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20250909211051_photo1_30ef7f2879bb.webp,https://www.diningcode.com/profile.php?rid=9UeTqgFCIp0G
kgunzJEYVkbb,포스톤즈,삼청점,서울특별시 종로구 삼청동 105-10,서울특별시 종로구 삼청로 103-4 삼청동 수제비 옆 골목,02-732-3004,37.5847732,126.9816589,79,4.3,12,"카페, 로스터리카페",삼청동,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260504034041_photo1_2a53a4afae1b.webp,https://www.diningcode.com/profile.php?rid=kgunzJEYVkbb
